item_id,date,steps
p05,2020-02-11,12291.0
p05,2020-02-12,12584.0
p05,2020-02-13,9674.0
p05,2020-02-14,10930.0
p05,2020-02-15,15625.0
p05,2020-02-16,11345.0
p05,2020-02-17,12981.0
p05,2020-02-18,12881.0
p05,2020-02-19,12941.0
p05,2020-02-20,6669.0
p05,2020-02-21,13.0
p05,2020-02-22,13.0
p05,2020-02-23,13.0
p05,2020-02-24,13.0
p05,2020-02-25,13.0
p05,2020-02-26,13.0
p05,2020-02-27,13.0
p05,2020-02-28,1046.0
p05,2020-02-29,7713.0
p05,2020-03-01,12635.0
p05,2020-03-02,11468.0
p05,2020-03-03,11973.0
p05,2020-03-04,12980.0
p05,2020-03-05,2620.0
p05,2020-03-06,3420.0
p05,2020-03-07,9152.0
p05,2020-03-08,8854.0
p05,2020-03-09,9613.0
p05,2020-03-10,6039.0
p05,2020-03-11,6436.0
p05,2020-03-12,11886.0
p05,2020-03-13,11685.0
p05,2020-03-14,6954.0
p05,2020-03-15,8842.0
p05,2020-03-16,11481.0
p05,2020-03-17,14018.0
p05,2020-03-18,16775.0
p05,2020-03-19,7887.0
p05,2020-03-20,8825.0
p05,2020-03-21,8003.0
p05,2020-03-22,14280.0
p05,2020-03-23,8133.0
p05,2020-03-24,6293.0
p05,2020-03-25,4948.0
p05,2020-03-26,8396.0
p05,2020-03-27,7652.0
p05,2020-03-28,11424.0
p05,2020-03-29,9037.0
p05,2020-03-30,5516.0
p05,2020-03-31,466.0
p06,2019-11-01,411.0
p06,2019-11-02,21036.0
p06,2019-11-03,5840.0
p06,2019-11-04,16483.0
p06,2019-11-05,22329.0
p06,2019-11-06,13092.0
p06,2019-11-07,17737.0
p06,2019-11-08,18728.0
p06,2019-11-09,6732.0
p06,2019-11-10,6761.0
p06,2019-11-11,13981.0
p06,2019-11-12,17504.0
p06,2019-11-13,15675.0
p06,2019-11-14,19704.0
p06,2019-11-15,10308.0
p06,2019-11-16,20966.0
p06,2019-11-17,11738.0
p06,2019-11-18,17916.0
p06,2019-11-19,9460.0
p06,2019-11-20,16304.0
p06,2019-11-21,8133.0
p06,2019-11-22,7391.0
p06,2019-11-23,6690.0
p06,2019-11-24,14428.0
p06,2019-11-24,14428.0
p06,2019-11-25,9446.0
p06,2019-11-26,14819.0
p06,2019-11-27,11558.0
p06,2019-11-28,14498.0
p06,2019-11-29,18461.0
p06,2019-11-30,12564.0
p06,2019-12-01,10273.0
p06,2019-12-02,16083.0
p06,2019-12-03,17480.0
p06,2019-12-04,15580.0
p06,2019-12-05,16724.0
p06,2019-12-06,15567.0
p06,2019-12-07,5831.0
p06,2019-12-08,11579.0
p06,2019-12-09,22656.0
p06,2019-12-10,19470.0
p06,2019-12-11,18762.0
p06,2019-12-12,18545.0
p06,2019-12-13,20325.0
p06,2019-12-14,10382.0
p06,2019-12-15,4724.0
p06,2019-12-16,19651.0
p06,2019-12-17,20030.0
p06,2019-12-18,17962.0
p06,2019-12-19,19380.0
p06,2019-12-20,23042.0
p06,2019-12-21,5683.0
p06,2019-12-22,13713.0
p06,2019-12-23,15738.0
p06,2019-12-24,10771.0
p06,2019-12-25,4737.0
p06,2019-12-26,2414.0
p06,2019-12-27,13570.0
p06,2019-12-28,3778.0
p06,2019-12-29,8291.0
p06,2019-12-30,12068.0
p06,2019-12-31,8574.0
p06,2020-01-01,3786.0
p06,2020-01-02,16366.0
